tel(e)-	отдаленный
telencephalon: i	мозг конечный
temporalis	височный
tempus: oris, n	висок
tempus: oris, n	время
ten-	сухожилие
tendo: inis m	сухожилие
tenia	лента
tensio: onis f	давление
tenuis	тонкий
teres: etis	круглый (мышца/связка)
tero: III	тереть
tertius	третий
testosteronum	тестостерон
tetraboras: atis m	тетраборат
thalamus: i	зрительный бугор
thalamus: i	таламус
theobrominum	теобромин
theophyllinum	теофиллин
therm-, -thermia	теплый
thermopsis: idis f	термопсис
thiaminum	тиамин
thiopentalum	тиопентал
thiosulfas: atis m	тиосульфат
thymus	железа вилочковая
thymus: i	вилочковая железа
thymus: i	тимус
thyreoidinum	тиреоидин
thyrohyoideus	щитоподъязычный
thyroideus	щитовидный
tibia	большеберцовая кость
tilia	липа
tinctura	настойка
ton-, -tonia	напряжение
ton-, -tonia	тонус
tonsilla	миндалина
totus	весь
totus	целый
tox-, -toxi(c)-, venenum	яд
tox-, -toxi(c)-, venenum	ядовитый
toxicosis: is f	токсикоз
trachea	трахея
trachel-, cervix: icis f	шейка матки
trachoma: atis n	трахома
tractus spinocerebellaris ventralis	Гаверса пучок
tractus: us	путь
tractus: us	тракт
trans-, per-, dia-	пере-
trans-, per-, dia-	пре-
trans-, per-, dia-	через
transfusio	переливание крови
transplantatio	пересадка
transversus	поперечный
trapezoideus	трапециевидный
trauma: atis n	травма
traumaticus	травматический
tredecim	тринадцать
tres, tria	три
trich-, -trichia	волос
trigeminalis	тройничный
triginta	тридцать
trihydras: atis m	тригидрат
triplex	тройноый
triticum	пшеница
tritus	терный
trochanter: eris m	вертел
trochlea	блок
trochlearis	блоковый
trop-, -tropia	направленность (действия)
troph-, -tropia	питание
truncus: i	ствол
truncus: i	туловище
tu	ты
tuba	труба
tuba auditiva	Евстахиева труба
tuba auditiva, salping-	труба слуховая
tuba uterina, salping-	труба маточная
tuber: eris n	бугор
tuberculosis: is f	туберкулез
tuberculum	бугорок
tuberculum auriculae	Дарвинов бугорок
tuberculum intervenosum (правое предсердие)	Ловеров бугорок
tuberositas: atis f	бугристость
tum	тогда
tunica	оболочка
tunica adventicia	оболочка адвентициальная
tunica albuginea	оболочка белочная
tunica fibrosa	оболочка фиброзная
tunica mucosa	оболочка слизистая
tunica muscularis	оболочка мышечная
tunica serosa	оболочка серозная
tunica spongiosa	оболочка губчатая
tussis: is f	кашель
tussis: is f	кашель
tuto	безопасно
tympanum	барабан
typhl-	слепая кишка
ul-, ulo-	десна
ulcerosus	язвенный
ulcus	язва
ulna	локтевая кость
ulnaris	локтевой
undecim	одиннадцать
unguentum	мазь
unus	один
ur-, -uresis, -uria, urina	моча
uran-	небо
ureter: eris m	мочеточник
urethra	мочеиспускательный канал
urethra	уретра
urgens: entis	неотложный
urinarius	мочевой
urtica	крапива
usque (acc)	до
usus: i	употребление
ut	как
ut	чтобы
uterinus	маточный
uterus: i	матка
vacuum	пустота
vagina	влагалище
vaginalis	влагалищный
valeo: ere II	быть здоровым
valeo: ere II	быть сильным
valeriana	валериана
validolum	валидол
valva atrioventricularis sinistra	Митральный клапан
valvula	заслонка
valvula sinus coronarii (правое предсердие)	Тебезиева заслонка
valvula venae cavae inferioris (atrium dextrum)	Евстахиева заслонка
varix: icis m/f	узел венозный (расширенная вена)
vas: vasis n	сосуд
vaselinum	вазелин
vasiculum	сосудец
vasiculum	сосудик
vasodilatator	сосудорасширитель
vasodilatoris	сосудорасширяющий
vastus	широкий (мышца)
vegetatio: onis f	разращение
vel	или
vel	либо
velociter	быстро
velociter	скоро
velum	занавеска
vena	вена
vena portae	воротная вена
venenum	яд
venosus	венозный
venter: tris m	брюшко (мышцы)
ventralis	вентральный
ventriculus: i	желудок
ventriculus: i	желудочек
vernalis	весенний
vertebra	позвонок
vertebralis	позвоночный
vertex: icis m	вершина
vertex: icis m	темя
verto: ere III	вертеть
verto: ere III	поворачивать
verus	истинный
vesica	пузырь
vesica billaris, vesica fellea	желчный пузырь
vestibulum	преддверие
via	путь
viginti	двадцать
vikasolum	виказол
vinylinum	винилин
viola	фиалка
vipr-, viper-	змеиный яд
vir: viri m	мужчина
viride nitens: viridis n nitentis	бриллиантовый зеленый
viride: is n	зелень
virus: i	вирус
virus: i	вирус
virus: i	яд
vis	мощь
vis	сила
viscera: um n (pl)	внутренности
visceralis	висцеральный
viscus: eris n	внутренность
visus: us m	зрение
vita	жизнь
vitalis	жизненный
vitaminum	витамин
vitiosus	порочный
vitium	изъян
vitium	порок
vitium	порок
vitreus	стекловидный
vivo: ere III	жить
volvulus: i	заворот кишок
vomer: eris m	сошник
vos	вы
vox: vocis f	звук
vulnus: eris n	рана
vv. cordis minimae	Тебезиевы вены
xer-	сухой
xeroformium	ксероформ
Zn	zincum
zygoma: atis n	скула
zygomaticus	скуловой
аксоны нейронов nucleus ruber	Монакова пучок
гигантские пирамидные нейроны коры	Беца клетки
пространство между bulbus oculi и его влагалищем	Теноново пространство
перекрест пучка Монакова	Фореля перекрест
