醋氨酚	Acetaminophen
Acetiromate	醋替罗酯［降血脂药］
acetoacetic acid	乙酰乙酸
acetoacetic ester	乙酰乙酸酯；
Acetobacter	醋杆菌属
acetogen	产乙酸菌
acetogenic bacteria	产乙酸菌
Acetohexamide	醋酸己脲［降血糖药］
Acetohydroxamic Acid	醋羟胺酸［尿素酶抑制药］
acetome body	酮体
acetome powder	丙酮制粉[在-30度以下加丙酮制成的蛋白质匀浆物]
Acetomenadione	醋酸甲萘氢醌［止血药］
Acetomenaphthone	醋酸甲萘氢醌［止血药］
Acetomeroctol	醋辛酚汞［消毒防腐药］
acetometer	醋酸比重计
acetomitrile	乙腈
acetone	丙酮
acetone	丙酮；
acetonumerator	尿酮定量器
Acetophenazine	醋奋乃静［抗精神病药］
Acetophenetidin	非那西丁［解热镇痛药］
Acetopherane	左法哌酯［抗抑郁药］
Acetorphine	醋托啡［镇痛药］
Acetosulfone Sodium	磺胺苯砜钠［磺胺类药］
Acetriptine	乙酰色胺［抗高血压药］
Acetrizoic Acid	醋碘苯酸［诊断用药］
Aceturic Acid	醋甘氨酸
acetyl	乙酰基
acetyl	group
acetyl coenzyme A	乙酰辅酶A
acetylation	乙酰化；
acetylcholine	乙酰胆碱
acetylcholine agonist	乙酰胆碱拮抗剂
Acetylcholine Chloride	氯乙酰胆碱［抗胆碱酯酶药］
acetylcholine receptor	乙酰胆碱受体
acetylcholinesterase	乙酰胆碱酯酶
Acetylcysteine	乙酰半胱氨酸［粘液溶解药］
Acetyldigitoxin	醋洋地黄毒苷［强心药］
Acetyldihydrocodeine	醋氢可待因［镇痛药］
acetylene	乙炔，电石气
acetylene	乙炔；
acetylene dichloride	对称二氯乙烯
acetylene reduction test	乙炔还原试验[检查生物体的固氮能力]
acetylenic bond	炔键；三键；
Acetylfuratrizine	醋呋三嗪［抗感染药］
acetylglucosaminidase	乙酰葡糖胺糖苷酶
acetylglutamate synthetase	乙酰谷氨酸合成酶
Acetylleucine	乙酰亮氨酸［抗眩晕药］
Acetylmethadol	醋美沙朵［镇痛药］
Acetylmethionine	乙酰蛋氨酸［氨基酸类药］
Acetylpiperacetamide	乙酰胡椒乙胺［平喘药］
acetylsalicylate	乙酰水杨酸；乙酰水杨酸盐、酯、根
Acetylsalicylic Acid	阿司匹林［解热镇痛药］
acetylsalicylic acid	乙酰水杨酸
Acetylspiramycin	乙酰螺旋霉素［抗生素类药］
acetylspiramycin	乙酰螺旋霉素
Acetylstrophanthidin	醋毒毛花苷元［强心药］
Acetylsulfafurazole	醋磺胺异噁唑［磺胺类药］
Acetylsulfalene	醋磺胺林［磺胺类药］
Acetylsulfamethoxazole	醋磺胺甲噁唑［磺胺类药］
Acetylsulfamethoxypyridazine	醋磺胺甲氧嗪［磺胺类药］
Acetylsulfametopyrazine	醋磺胺林［磺胺类药］
Acetylsulfisomezole	醋磺胺甲噁唑［磺胺类药］
Acetylsulfisoxazole	醋磺胺异噁唑［磺胺类药］
Acevaltrate	醋戊曲酯［催眠镇静药］
Acexamic Acid	醋氨己酸［消炎药］
ACG PCG transducer	心尖搏动和心音换能器
ACG(①angiocardiogram ②apexcardiogram)	① 心血管照片 ②心尖搏动图
AchE	乙酰胆碱酯酶
achievement quotient	能力商数，成绩商数
achiral	非手性的
achiral	molecule
acholeplasma	无胆甾原体
AchR	乙酰胆碱受体
achromat	消色差透镜
achromatic	消色差的，无色的
achromatic color	无色
achromatic lens	消色差透镜
achromatic objective	消色差物镜
achromatic prism	消色差棱镜
achromatic threshold	感色阈，无色阈
achromatic/aplanatic condenser	消失差/消球差聚光器
achromatin	非染色质
achromatism	消色差
Achromobacter spp	无色杆菌属某些种
Aciclovir	阿昔洛韦［抗病毒药］
acicular	针状的
acicular crystal	针状晶体
acid	①酸 ②酸性的
acid analyzer	酸性物质分析器
acid base equilibrium	基础酸平衡
acid bottle	储酸瓶
acid burette	酸性滴定管
acid catalysis	酸催化
acid degree	酸度；
acid dissociation constant	酸离解常数；
acid estimation apparatus	酸定量器
acid fallout	酸性沈降物
acid fibroblast growth factor	酸性成纤维细胞生长因子
acid fuchsin	酸性品红
acid funnel	耐酸漏斗
acid glycoprotein	酸性糖蛋白
acid hydrolyzed casein	酸水解酪蛋白
acid medium	酸性培养基
acid mucopolysaccharide	酸性粘多糖
acid phosphatase	酸性磷酸酶
acid protease	酸性蛋白酶
acid solvent	酸性溶剂
acid stain	酸性染料
acid value	酸值
acid-base balance	酸碱平衡
